nb_neurons,nb_iter,random_state,alpha,accuracy,accuracy_test
16.0,2000.0,0.0,0.0001,0.6537059538274606,0.3333333333333333
16.0,2000.0,0.0,0.0005,0.6561360874848117,0.4
16.0,2000.0,0.0,0.001,0.6573511543134872,0.3333333333333333
16.0,2000.0,0.0,0.01,0.6561360874848117,0.3333333333333333
16.0,2000.0,1.0,0.0001,0.6452004860267315,0.6
16.0,2000.0,1.0,0.0005,0.6366950182260024,0.6
16.0,2000.0,1.0,0.001,0.6476306196840826,0.4666666666666667
16.0,2000.0,1.0,0.01,0.6476306196840826,0.5333333333333333
16.0,2000.0,2.0,0.0001,0.6439854191980559,0.4
16.0,2000.0,2.0,0.0005,0.6415552855407047,0.5333333333333333
16.0,2000.0,2.0,0.001,0.6500607533414338,0.4
16.0,2000.0,2.0,0.01,0.6476306196840826,0.4666666666666667
16.0,2000.0,3.0,0.0001,0.6707168894289186,0.6
16.0,2000.0,3.0,0.0005,0.675577156743621,0.5333333333333333
16.0,2000.0,3.0,0.001,0.6852976913730255,0.6
16.0,2000.0,3.0,0.01,0.6804374240583232,0.6666666666666666
16.0,2000.0,4.0,0.0001,0.6488456865127582,0.6666666666666666
16.0,2000.0,4.0,0.0005,0.6561360874848117,0.6666666666666666
16.0,2000.0,4.0,0.001,0.6524908869987849,0.6666666666666666
16.0,2000.0,4.0,0.01,0.669501822600243,0.7333333333333333
16.0,4000.0,0.0,0.0001,0.6901579586877278,0.5333333333333333
16.0,4000.0,0.0,0.0005,0.6877278250303767,0.6666666666666666
16.0,4000.0,0.0,0.001,0.6889428918590522,0.5333333333333333
16.0,4000.0,0.0,0.01,0.6938031591737546,0.5333333333333333
16.0,4000.0,1.0,0.0001,0.675577156743621,0.4666666666666667
16.0,4000.0,1.0,0.0005,0.660996354799514,0.5333333333333333
16.0,4000.0,1.0,0.001,0.6719319562575942,0.4666666666666667
16.0,4000.0,1.0,0.01,0.6828675577156743,0.3333333333333333
16.0,4000.0,2.0,0.0001,0.6622114216281896,0.6
16.0,4000.0,2.0,0.0005,0.6622114216281896,0.4666666666666667
16.0,4000.0,2.0,0.001,0.6561360874848117,0.5333333333333333
16.0,4000.0,2.0,0.01,0.6597812879708383,0.6
16.0,4000.0,3.0,0.0001,0.701093560145808,0.6
16.0,4000.0,3.0,0.0005,0.7047387606318347,0.6
16.0,4000.0,3.0,0.001,0.6950182260024301,0.4666666666666667
16.0,4000.0,3.0,0.01,0.6962332928311057,0.6
16.0,4000.0,4.0,0.0001,0.6865127582017011,0.8666666666666667
16.0,4000.0,4.0,0.0005,0.6974483596597812,0.8666666666666667
16.0,4000.0,4.0,0.001,0.6852976913730255,0.8666666666666667
16.0,4000.0,4.0,0.01,0.707168894289186,0.7333333333333333
16.0,8000.0,0.0,0.0001,0.7108140947752126,0.5333333333333333
16.0,8000.0,0.0,0.0005,0.7120291616038882,0.6
16.0,8000.0,0.0,0.001,0.7023086269744836,0.4666666666666667
16.0,8000.0,0.0,0.01,0.7229647630619684,0.5333333333333333
16.0,8000.0,1.0,0.0001,0.7035236938031592,0.4666666666666667
16.0,8000.0,1.0,0.0005,0.692588092345079,0.5333333333333333
16.0,8000.0,1.0,0.001,0.7181044957472661,0.4666666666666667
16.0,8000.0,1.0,0.01,0.7193195625759417,0.3333333333333333
16.0,8000.0,2.0,0.0001,0.6865127582017011,0.6
16.0,8000.0,2.0,0.0005,0.6816524908869988,0.3333333333333333
16.0,8000.0,2.0,0.001,0.6913730255164034,0.4666666666666667
16.0,8000.0,2.0,0.01,0.6743620899149453,0.4666666666666667
16.0,8000.0,3.0,0.0001,0.7168894289185905,0.6
16.0,8000.0,3.0,0.0005,0.7059538274605103,0.6
16.0,8000.0,3.0,0.001,0.7120291616038882,0.5333333333333333
16.0,8000.0,3.0,0.01,0.7314702308626975,0.5333333333333333
16.0,8000.0,4.0,0.0001,0.7120291616038882,0.8
16.0,8000.0,4.0,0.0005,0.7132442284325637,0.6
16.0,8000.0,4.0,0.001,0.7181044957472661,0.7333333333333333
16.0,8000.0,4.0,0.01,0.7047387606318347,0.7333333333333333
16.0,16000.0,0.0,0.0001,0.7351154313487241,0.6666666666666666
16.0,16000.0,0.0,0.0005,0.7168894289185905,0.6
16.0,16000.0,0.0,0.001,0.7217496962332929,0.5333333333333333
16.0,16000.0,0.0,0.01,0.7351154313487241,0.5333333333333333
16.0,16000.0,1.0,0.0001,0.7205346294046172,0.4
16.0,16000.0,1.0,0.0005,0.7108140947752126,0.4666666666666667
16.0,16000.0,1.0,0.001,0.732685297691373,0.4666666666666667
16.0,16000.0,1.0,0.01,0.7399756986634265,0.5333333333333333
16.0,16000.0,2.0,0.0001,0.7217496962332929,0.4
16.0,16000.0,2.0,0.0005,0.7083839611178615,0.3333333333333333
16.0,16000.0,2.0,0.001,0.7181044957472661,0.5333333333333333
16.0,16000.0,2.0,0.01,0.6998784933171325,0.4
16.0,16000.0,3.0,0.0001,0.7193195625759417,0.6666666666666666
16.0,16000.0,3.0,0.0005,0.7314702308626975,0.5333333333333333
16.0,16000.0,3.0,0.001,0.7339003645200486,0.3333333333333333
16.0,16000.0,3.0,0.01,0.7205346294046172,0.4666666666666667
16.0,16000.0,4.0,0.0001,0.7399756986634265,0.7333333333333333
16.0,16000.0,4.0,0.0005,0.7278250303766707,0.6
16.0,16000.0,4.0,0.001,0.7205346294046172,0.7333333333333333
16.0,16000.0,4.0,0.01,0.7278250303766707,0.5333333333333333
16.0,32000.0,0.0,0.0001,0.7569866342648846,0.5333333333333333
16.0,32000.0,0.0,0.0005,0.7399756986634265,0.6666666666666666
16.0,32000.0,0.0,0.001,0.741190765492102,0.4
16.0,32000.0,0.0,0.01,0.7484811664641555,0.4666666666666667
16.0,32000.0,1.0,0.0001,0.7339003645200486,0.4666666666666667
16.0,32000.0,1.0,0.0005,0.7339003645200486,0.4666666666666667
16.0,32000.0,1.0,0.001,0.7351154313487241,0.5333333333333333
16.0,32000.0,1.0,0.01,0.7606318347509113,0.5333333333333333
16.0,32000.0,2.0,0.0001,0.7253948967193196,0.3333333333333333
16.0,32000.0,2.0,0.0005,0.707168894289186,0.3333333333333333
16.0,32000.0,2.0,0.001,0.7314702308626975,0.4666666666666667
16.0,32000.0,2.0,0.01,0.7095990279465371,0.4
16.0,32000.0,3.0,0.0001,0.7302551640340219,0.6666666666666666
16.0,32000.0,3.0,0.0005,0.7314702308626975,0.6
16.0,32000.0,3.0,0.001,0.7521263669501823,0.4666666666666667
16.0,32000.0,3.0,0.01,0.7266099635479951,0.5333333333333333
16.0,32000.0,4.0,0.0001,0.7484811664641555,0.7333333333333333
16.0,32000.0,4.0,0.0005,0.7375455650060754,0.6666666666666666
16.0,32000.0,4.0,0.001,0.732685297691373,0.8
16.0,32000.0,4.0,0.01,0.732685297691373,0.5333333333333333
32.0,2000.0,0.0,0.0001,0.7812879708383961,0.6
32.0,2000.0,0.0,0.0005,0.7922235722964763,0.6
32.0,2000.0,0.0,0.001,0.795868772782503,0.6
32.0,2000.0,0.0,0.01,0.7861482381530984,0.6
32.0,2000.0,1.0,0.0001,0.8007290400972054,0.4
32.0,2000.0,1.0,0.0005,0.7861482381530984,0.5333333333333333
32.0,2000.0,1.0,0.001,0.7982989064398542,0.4666666666666667
32.0,2000.0,1.0,0.01,0.7922235722964763,0.4666666666666667
32.0,2000.0,2.0,0.0001,0.7982989064398542,0.5333333333333333
32.0,2000.0,2.0,0.0005,0.8031591737545565,0.5333333333333333
32.0,2000.0,2.0,0.001,0.8031591737545565,0.5333333333333333
32.0,2000.0,2.0,0.01,0.8019441069258809,0.4666666666666667
32.0,2000.0,3.0,0.0001,0.8031591737545565,0.6
32.0,2000.0,3.0,0.0005,0.8007290400972054,0.6666666666666666
32.0,2000.0,3.0,0.001,0.7922235722964763,0.6666666666666666
32.0,2000.0,3.0,0.01,0.7897934386391251,0.6
32.0,2000.0,4.0,0.0001,0.7910085054678008,0.5333333333333333
32.0,2000.0,4.0,0.0005,0.7970838396111786,0.4
32.0,2000.0,4.0,0.001,0.7946537059538274,0.4
32.0,2000.0,4.0,0.01,0.7825030376670717,0.4
32.0,4000.0,0.0,0.0001,0.8469015795868773,0.6
32.0,4000.0,0.0,0.0005,0.8456865127582017,0.5333333333333333
32.0,4000.0,0.0,0.001,0.8493317132442284,0.6
32.0,4000.0,0.0,0.01,0.8481166464155528,0.6
32.0,4000.0,1.0,0.0001,0.8481166464155528,0.4
32.0,4000.0,1.0,0.0005,0.8541919805589308,0.4666666666666667
32.0,4000.0,1.0,0.001,0.850546780072904,0.4
32.0,4000.0,1.0,0.01,0.850546780072904,0.4
32.0,4000.0,2.0,0.0001,0.8869987849331713,0.4666666666666667
32.0,4000.0,2.0,0.0005,0.8833535844471446,0.6
32.0,4000.0,2.0,0.001,0.8821385176184691,0.4666666666666667
32.0,4000.0,2.0,0.01,0.8566221142162819,0.4
32.0,4000.0,3.0,0.0001,0.8541919805589308,0.8
32.0,4000.0,3.0,0.0005,0.8481166464155528,0.8
32.0,4000.0,3.0,0.001,0.8614823815309842,0.7333333333333333
32.0,4000.0,3.0,0.01,0.8469015795868773,0.8666666666666667
32.0,4000.0,4.0,0.0001,0.8760631834750912,0.4666666666666667
32.0,4000.0,4.0,0.0005,0.8748481166464156,0.5333333333333333
32.0,4000.0,4.0,0.001,0.8736330498177399,0.4666666666666667
32.0,4000.0,4.0,0.01,0.8712029161603888,0.6
32.0,8000.0,0.0,0.0001,0.913730255164034,0.6
32.0,8000.0,0.0,0.0005,0.9088699878493317,0.6666666666666666
32.0,8000.0,0.0,0.001,0.9027946537059538,0.6
32.0,8000.0,0.0,0.01,0.9003645200486027,0.6
32.0,8000.0,1.0,0.0001,0.9125151883353585,0.26666666666666666
32.0,8000.0,1.0,0.0005,0.913730255164034,0.5333333333333333
32.0,8000.0,1.0,0.001,0.9258809234507898,0.3333333333333333
32.0,8000.0,1.0,0.01,0.9149453219927096,0.3333333333333333
32.0,8000.0,2.0,0.0001,0.9416767922235723,0.4666666666666667
32.0,8000.0,2.0,0.0005,0.9623329283110571,0.5333333333333333
32.0,8000.0,2.0,0.001,0.9611178614823815,0.4666666666666667
32.0,8000.0,2.0,0.01,0.905224787363305,0.5333333333333333
32.0,8000.0,3.0,0.0001,0.9149453219927096,0.7333333333333333
32.0,8000.0,3.0,0.0005,0.9125151883353585,0.8
32.0,8000.0,3.0,0.001,0.9356014580801945,0.5333333333333333
32.0,8000.0,3.0,0.01,0.9222357229647631,0.6666666666666666
32.0,8000.0,4.0,0.0001,0.9222357229647631,0.4
32.0,8000.0,4.0,0.0005,0.9380315917375456,0.4
32.0,8000.0,4.0,0.001,0.9428918590522479,0.5333333333333333
32.0,8000.0,4.0,0.01,0.928311057108141,0.4666666666666667
32.0,16000.0,0.0,0.0001,0.9671931956257594,0.5333333333333333
32.0,16000.0,0.0,0.0005,0.951397326852977,0.4666666666666667
32.0,16000.0,0.0,0.001,0.9489671931956257,0.6666666666666666
32.0,16000.0,0.0,0.01,0.9671931956257594,0.4666666666666667
32.0,16000.0,1.0,0.0001,0.9708383961117861,0.4666666666666667
32.0,16000.0,1.0,0.0005,0.968408262454435,0.4666666666666667
32.0,16000.0,1.0,0.001,0.9720534629404617,0.4666666666666667
32.0,16000.0,1.0,0.01,0.9708383961117861,0.4666666666666667
32.0,16000.0,2.0,0.0001,0.9878493317132442,0.4
32.0,16000.0,2.0,0.0005,0.9927095990279465,0.4666666666666667
32.0,16000.0,2.0,0.001,0.9987849331713244,0.4
32.0,16000.0,2.0,0.01,0.9781287970838396,0.5333333333333333
32.0,16000.0,3.0,0.0001,0.9805589307411907,0.6666666666666666
32.0,16000.0,3.0,0.0005,0.9805589307411907,0.6666666666666666
32.0,16000.0,3.0,0.001,0.9939246658566221,0.4666666666666667
32.0,16000.0,3.0,0.01,0.982989064398542,0.6666666666666666
32.0,16000.0,4.0,0.0001,0.982989064398542,0.3333333333333333
32.0,16000.0,4.0,0.0005,0.9951397326852977,0.3333333333333333
32.0,16000.0,4.0,0.001,0.9975698663426489,0.6
32.0,16000.0,4.0,0.01,0.9805589307411907,0.5333333333333333
32.0,32000.0,0.0,0.0001,1.0,0.6
32.0,32000.0,0.0,0.0005,0.9890643985419199,0.4666666666666667
32.0,32000.0,0.0,0.001,0.9975698663426489,0.6666666666666666
32.0,32000.0,0.0,0.01,0.9939246658566221,0.26666666666666666
32.0,32000.0,1.0,0.0001,1.0,0.4666666666666667
32.0,32000.0,1.0,0.0005,0.9987849331713244,0.3333333333333333
32.0,32000.0,1.0,0.001,0.9987849331713244,0.4666666666666667
32.0,32000.0,1.0,0.01,0.991494532199271,0.4666666666666667
32.0,32000.0,2.0,0.0001,1.0,0.4
32.0,32000.0,2.0,0.0005,1.0,0.5333333333333333
32.0,32000.0,2.0,0.001,1.0,0.4
32.0,32000.0,2.0,0.01,0.9987849331713244,0.4666666666666667
32.0,32000.0,3.0,0.0001,1.0,0.6
32.0,32000.0,3.0,0.0005,1.0,0.6
32.0,32000.0,3.0,0.001,1.0,0.4
32.0,32000.0,3.0,0.01,1.0,0.6666666666666666
32.0,32000.0,4.0,0.0001,1.0,0.3333333333333333
32.0,32000.0,4.0,0.0005,1.0,0.4
32.0,32000.0,4.0,0.001,1.0,0.7333333333333333
32.0,32000.0,4.0,0.01,1.0,0.6
